transaction_id,customer_id,datetime,stock_code,action,quantity,price,fee
TC001_0_0,C001,2023-07-03 09:55:00,CSV,buy,20,12.6,0.7634167979088502
TC001_0_1,C001,2023-07-03 09:18:00,YEG,buy,29,7.43,0.7202677873093041
TC001_0_2,C001,2023-07-03 11:26:00,FPT,buy,41,53.74,9.478152254593281
TC001_0_3,C001,2023-07-03 10:17:00,PET,buy,35,25.26,3.878356639922975
TC001_0_5,C001,2023-07-03 14:47:00,YEG,sell,5,10.48,0.17970215287599964
TC001_0_6,C001,2023-07-03 14:08:00,PET,sell,11,25.77,0.460110669493167
TC001_0_close,C001,2023-07-03 13:40:00,CSV,sell,20,10.91,0.6789699168643428
TC001_0_close,C001,2023-07-03 13:51:00,FPT,sell,41,56.47,2.8789005445165565
TC001_1_0,C001,2023-07-04 10:25:00,CSV,buy,32,12.7,0.898384951949913
TC001_1_1,C001,2023-07-04 11:10:00,YEG,buy,26,7.43,0.49796498543385564
TC001_1_2,C001,2023-07-04 11:02:00,PET,buy,28,25.39,2.097109408561149
TC001_1_3,C001,2023-07-04 10:16:00,FPT,buy,75,54.12,4.999278858705103
TC001_1_4,C001,2023-07-04 11:11:00,FPT,buy,40,54.14,3.260983828559908
TC001_1_5,C001,2023-07-04 13:52:00,PET,sell,11,25.44,0.5710822817226514
TC001_1_close,C001,2023-07-04 14:37:00,CSV,sell,32,15.17,1.0379519460388056
TC001_1_close,C001,2023-07-04 14:13:00,YEG,sell,26,10.02,0.5881857462313085
TC001_1_close,C001,2023-07-04 14:35:00,FPT,sell,115,51.02,25.65742764905219
TC001_2_0,C001,2023-07-05 11:22:00,TCM,buy,42,39.2,1.7982752295263376
TC001_2_1,C001,2023-07-05 09:07:00,FPT,buy,34,54.12,7.764041189831489
TC001_2_2,C001,2023-07-05 09:51:00,CSV,buy,33,13.05,1.3469772752545308
TC001_2_3,C001,2023-07-05 11:12:00,FPT,buy,65,53.39,7.494267930774682
TC001_2_4,C001,2023-07-05 13:45:00,CSV,sell,33,14.41,0.6348611867656813
TC001_2_close,C001,2023-07-05 14:53:00,TCM,sell,42,41.59,3.6970526550633416
TC001_2_close,C001,2023-07-05 14:53:00,FPT,sell,99,52.09,25.347194009385614
TC001_3_0,C001,2023-07-06 11:20:00,CSV,buy,79,13.14,2.371160478432207
TC001_3_1,C001,2023-07-06 10:53:00,PET,buy,41,25.53,2.067639268607544
TC001_3_close,C001,2023-07-06 14:28:00,CSV,sell,79,16.67,6.430703507681435
TC001_3_close,C001,2023-07-06 13:58:00,PET,sell,41,26.93,2.3501914032035693
TC001_4_0,C001,2023-07-07 11:19:00,YEG,buy,59,10.38,1.9531170438205465
TC001_4_1,C001,2023-07-07 10:22:00,YEG,buy,80,7.22,0.8784069646561828
TC001_4_2,C001,2023-07-07 10:33:00,TCM,buy,39,38.49,2.3887145653800204
TC001_4_3,C001,2023-07-07 10:31:00,PET,buy,29,26.76,2.8041440115727347
TC001_4_4,C001,2023-07-07 09:53:00,FPT,buy,71,54.48,11.276510278545228
TC001_4_5,C001,2023-07-07 11:05:00,PET,buy,64,27.2,6.627810563804565
TC001_4_7,C001,2023-07-07 14:54:00,TCM,sell,24,35.67,2.0231781646002958
TC001_4_11,C001,2023-07-07 14:11:00,YEG,sell,139,7.17,4.443778368598355
TC001_4_close,C001,2023-07-07 14:46:00,PET,sell,93,28.84,6.870511925901518
