transaction_id,customer_id,datetime,stock_code,action,quantity,price,fee
TC001_0_0,C001,2023-07-01 11:24:00,DCM,buy,48,68.99,3.31152
TC001_0_1,C001,2023-07-01 09:42:00,SJS,buy,30,59.6,1.788
TC001_0_2,C001,2023-07-01 09:51:00,SJS,buy,47,49.96,2.3481199999999998
TC001_0_3,C001,2023-07-01 09:12:00,VHC,buy,21,23.91,0.5021100000000001
TC001_0_4,C001,2023-07-01 11:06:00,CSV,buy,53,91.12,4.82936
TC001_0_5,C001,2023-07-01 10:08:00,LPB,buy,67,42.84,2.87028
TC001_0_6,C001,2023-07-01 09:50:00,VHC,buy,39,99.26,3.8711400000000005
TC001_0_7,C001,2023-07-01 14:52:00,CSV,sell,21,47.51,0.99771
TC001_0_8,C001,2023-07-01 13:27:00,SJS,sell,15,98.82,1.4823
TC001_0_9,C001,2023-07-01 14:39:00,LPB,sell,26,30.6,0.7956000000000001
TC001_0_14,C001,2023-07-01 13:04:00,VHC,sell,8,29.83,0.23864
TC001_0_close,C001,2023-07-01 14:49:00,DCM,sell,48,25.47,0.0
TC001_1_0,C001,2023-07-03 10:16:00,VHC,buy,44,64.04,2.8177600000000003
TC001_1_1,C001,2023-07-03 10:44:00,CSV,buy,27,46.01,1.24227
TC001_1_2,C001,2023-07-03 11:25:00,CSV,buy,36,37.47,1.3489200000000001
TC001_1_3,C001,2023-07-03 11:01:00,SJS,buy,74,40.42,2.99108
TC001_1_4,C001,2023-07-03 09:38:00,SJS,buy,41,44.14,1.8097400000000001
TC001_1_5,C001,2023-07-03 09:22:00,VHC,buy,56,94.84,5.31104
TC001_1_6,C001,2023-07-03 10:29:00,VHC,buy,50,21.13,1.0565
TC001_1_close,C001,2023-07-03 13:48:00,VHC,sell,150,62.56,0.0
TC001_1_close,C001,2023-07-03 13:17:00,CSV,sell,63,49.17,0.0
TC001_1_close,C001,2023-07-03 14:19:00,SJS,sell,115,40.08,0.0
TC001_2_0,C001,2023-07-04 09:49:00,DCM,buy,28,72.48,2.02944
TC001_2_1,C001,2023-07-04 09:58:00,CSV,buy,62,36.29,2.24998
TC001_2_2,C001,2023-07-04 09:56:00,CSV,buy,44,97.29,4.28076
TC001_2_3,C001,2023-07-04 10:36:00,LPB,buy,41,27.65,1.1336499999999998
TC001_2_4,C001,2023-07-04 11:14:00,DCM,buy,27,22.19,0.59913
TC001_2_5,C001,2023-07-04 09:32:00,DCM,buy,18,77.73,1.39914
TC001_2_6,C001,2023-07-04 13:39:00,DCM,sell,73,71.7,5.234100000000001
